campaign_id,channel,objective,target_segment,expected_uplift,start_date,end_date
0,No Campaign,Not Assigned,Not Assigned,0.0,,
1,Paid Search,Cross-sell,Deal Seekers,0.022,2021-10-25,2021-11-26
2,Email,Retention,Deal Seekers,0.116,2021-10-24,2021-12-24
3,Email,Reactivation,Churn Risk,0.1,2023-10-08,2023-11-30
4,Display,Reactivation,Deal Seekers,0.111,2022-07-25,2022-10-07
5,Social,Acquisition,New Customers,0.144,2022-07-09,2022-09-29
6,Affiliate,Reactivation,New Customers,0.087,2021-10-20,2021-12-03
7,Paid Search,Cross-sell,High Value,0.136,2023-07-02,2023-08-10
8,Paid Search,Cross-sell,Churn Risk,0.128,2021-08-23,2021-09-30
9,Social,Retention,All,0.113,2023-10-09,2023-12-30
10,Email,Cross-sell,Churn Risk,0.034,2022-09-01,2022-10-22
11,Affiliate,Reactivation,Churn Risk,0.104,2022-11-02,2023-01-14
12,Email,Acquisition,Churn Risk,0.032,2021-01-20,2021-02-21
13,Display,Reactivation,Churn Risk,0.063,2022-03-19,2022-06-09
14,Email,Retention,High Value,0.092,2022-09-20,2022-09-29
15,Social,Retention,New Customers,0.086,2022-04-29,2022-05-10
16,Email,Reactivation,All,0.118,2023-08-10,2023-10-15
17,Display,Retention,High Value,0.14,2023-04-05,2023-04-24
18,Affiliate,Retention,All,0.139,2022-10-09,2022-12-07
19,Affiliate,Acquisition,New Customers,0.087,2021-11-28,2022-01-29
20,Social,Reactivation,New Customers,0.059,2021-07-26,2021-09-23
21,Email,Acquisition,Churn Risk,0.09,2023-02-21,2023-03-27
22,Affiliate,Reactivation,High Value,0.038,2022-07-02,2022-09-18
23,Paid Search,Retention,Deal Seekers,0.107,2022-10-25,2023-01-19
24,Display,Acquisition,New Customers,0.063,2021-11-07,2022-01-06
25,Paid Search,Cross-sell,High Value,0.119,2021-03-19,2021-04-11
26,Email,Reactivation,Deal Seekers,0.037,2023-08-13,2023-11-01
27,Display,Retention,New Customers,0.057,2022-04-01,2022-04-11
28,Affiliate,Acquisition,New Customers,0.093,2021-09-02,2021-09-11
29,Email,Acquisition,New Customers,0.14,2021-12-26,2022-02-26
30,Social,Acquisition,Deal Seekers,0.052,2023-11-04,2024-01-06
31,Affiliate,Cross-sell,High Value,0.108,2023-10-26,2023-12-03
32,Social,Reactivation,Churn Risk,0.051,2021-08-05,2021-10-16
33,Display,Cross-sell,All,0.1,2022-02-15,2022-04-18
34,Email,Reactivation,Churn Risk,0.042,2023-03-19,2023-05-13
35,Display,Acquisition,High Value,0.046,2022-11-06,2022-11-26
36,Display,Reactivation,Deal Seekers,0.117,2023-04-03,2023-06-10
37,Paid Search,Cross-sell,Deal Seekers,0.096,2022-10-20,2022-12-01
38,Paid Search,Reactivation,All,0.065,2021-12-18,2022-01-31
39,Affiliate,Retention,New Customers,0.108,2023-03-08,2023-05-11
40,Display,Cross-sell,New Customers,0.105,2022-07-25,2022-09-07
41,Social,Retention,All,0.058,2023-04-09,2023-04-17
42,Paid Search,Retention,High Value,0.051,2023-04-22,2023-06-29
43,Paid Search,Cross-sell,Deal Seekers,0.078,2023-03-12,2023-04-18
44,Affiliate,Reactivation,All,0.141,2021-01-31,2021-04-17
45,Affiliate,Retention,Churn Risk,0.114,2022-04-08,2022-06-15
46,Social,Cross-sell,All,0.03,2023-03-23,2023-04-17
47,Affiliate,Cross-sell,High Value,0.066,2022-04-12,2022-06-04
48,Paid Search,Acquisition,New Customers,0.099,2022-01-05,2022-04-04
49,Paid Search,Reactivation,Deal Seekers,0.128,2021-04-09,2021-05-24
50,Email,Retention,Churn Risk,0.023,2021-02-14,2021-03-24
