campaign_id,duration_days,marketing_spend
1,32,12634.81
2,61,5319.9
3,53,6100.5
4,74,29052.16
5,82,24816.58
6,44,8112.6
7,39,14398.99
8,38,16517.09
9,82,16731.66
10,51,4781.01
11,73,13068.11
12,32,4550.96
13,82,33669.04
14,9,678.58
15,11,2060.0
16,66,6800.3
17,19,5111.71
18,59,8538.07
19,62,14310.53
20,59,15547.54
21,34,4518.88
22,78,14330.47
23,86,29672.96
24,60,26570.34
25,23,9233.16
26,80,9301.91
27,10,2631.82
28,9,2112.0
29,62,8208.97
30,63,18617.71
31,38,6288.41
32,72,18495.28
33,62,17831.09
34,55,6593.15
35,20,9947.45
36,68,27794.77
37,42,16345.3
38,44,20027.46
39,64,9555.58
40,44,13694.1
41,8,1479.05
42,68,24456.39
43,37,13589.56
44,76,16279.89
45,68,9319.59
46,25,5807.84
47,53,8262.67
48,89,52273.97
49,45,22483.09
50,38,2848.39
