customer_id,signup_date,country,age,gender,loyalty_tier,acquisition_channel,converted
1,2021-04-08,BR,48,Male,Bronze,Referral,False
2,2023-04-28,IN,36,Female,Silver,Organic,True
3,2022-12-18,UK,35,Female,Silver,Organic,False
4,2022-04-26,US,45,Male,Silver,Paid Search,False
5,2022-04-20,IN,53,Male,Silver,Organic,False
6,2023-07-30,IN,31,Female,Bronze,Paid Search,False
7,2021-04-05,IN,35,Female,Silver,Social,False
8,2023-02-03,US,36,Male,Bronze,Organic,True
9,2021-08-09,BR,33,Female,Bronze,Paid Search,True
10,2021-04-14,US,36,Male,Bronze,Email,False
11,2022-07-31,CA,66,Male,Bronze,Email,False
12,2023-12-05,AU,32,Male,Bronze,Paid Search,False
13,2023-03-17,US,46,Male,Gold,Organic,True
14,2023-04-14,IN,27,Male,Silver,Paid Search,True
15,2023-02-25,UK,31,Male,Bronze,Paid Search,False
16,2023-05-11,AU,18,Male,Silver,Email,False
17,2022-07-16,BR,35,Female,Silver,Organic,True
18,2021-05-21,IN,22,Male,Silver,Paid Search,False
19,2023-07-09,AU,37,Female,Silver,Paid Search,True
20,2022-05-09,US,31,Male,Bronze,Paid Search,True
21,2022-07-02,US,19,Male,Bronze,Referral,True
22,2022-02-11,IN,34,Male,Silver,Organic,True
23,2021-07-19,CA,32,Male,Silver,Paid Search,True
24,2023-10-12,US,56,Female,Bronze,Email,False
25,2023-05-06,CA,37,Female,Silver,Paid Search,True
26,2022-12-07,US,22,Female,Bronze,Email,True
27,2022-03-17,US,39,Female,Silver,Organic,False
28,2023-06-20,AU,40,Male,Gold,Social,True
29,2022-08-21,DE,31,Male,Silver,Paid Search,True
30,2022-05-01,IN,33,Female,Bronze,Paid Search,False
31,2022-05-09,CA,42,Other,Platinum,Email,False
32,2021-09-06,IN,25,Male,Bronze,Paid Search,True
33,2021-04-11,US,53,Male,Gold,Referral,True
34,2022-08-31,IN,46,Male,Bronze,Organic,False
35,2023-08-31,AU,39,Female,Gold,Organic,False
36,2021-03-11,US,23,Male,Bronze,Social,True
37,2023-07-29,US,48,Female,Bronze,Organic,True
38,2023-06-26,CA,23,Female,Bronze,Organic,False
39,2021-10-31,IN,37,Female,Gold,Referral,False
40,2022-11-23,US,33,Male,Bronze,Email,False
41,2021-06-30,IN,42,Female,Platinum,Organic,True
42,2023-04-11,BR,32,Female,Gold,Organic,False
43,2023-02-07,US,24,Female,Bronze,Paid Search,False
44,2022-01-24,US,29,Female,Bronze,Organic,True
45,2021-03-16,IN,31,Other,Bronze,Organic,False
46,2023-11-29,IN,46,Male,Gold,Organic,True
47,2022-05-04,US,35,Male,Bronze,Paid Search,True
48,2023-09-05,UK,24,Female,Silver,Email,True
49,2023-01-13,UK,43,Male,Bronze,Email,True
50,2023-05-03,UK,41,Male,Bronze,Organic,True
51,2023-04-13,IN,27,Male,Bronze,Paid Search,True
52,2021-08-02,US,26,Male,Silver,Referral,True
53,2022-02-03,US,32,Female,Gold,Email,True
54,2022-05-27,BR,29,Male,Silver,Organic,False
55,2022-06-30,UK,43,Male,Bronze,Organic,True
56,2021-02-17,IN,36,Male,Bronze,Organic,True
57,2022-08-22,UK,25,Female,Bronze,Paid Search,True
58,2021-06-18,US,36,Female,Silver,Social,False
59,2023-03-25,BR,36,Male,Platinum,Organic,False
60,2023-01-18,DE,25,Male,Silver,Paid Search,True
61,2023-10-08,US,30,Male,Bronze,Paid Search,False
62,2023-03-27,US,38,Female,Bronze,Referral,True
63,2022-02-06,US,48,Male,Silver,Social,True
64,2023-11-26,US,42,Female,Gold,Email,True
65,2022-03-26,IN,27,Male,Silver,Paid Search,False
66,2021-12-23,US,49,Female,Bronze,Paid Search,True
67,2023-09-19,DE,30,Female,Silver,Email,True
68,2022-02-10,IN,41,Male,Bronze,Organic,True
69,2021-03-25,US,47,Male,Silver,Email,True
70,2022-05-30,US,40,Female,Silver,Social,False
71,2023-05-22,US,30,Female,Bronze,Social,True
72,2021-07-27,IN,38,Male,Silver,Email,True
73,2022-05-22,UK,38,Male,Bronze,Email,True
