transaction_id,timestamp,customer_id,product_id,quantity,discount_applied,gross_revenue,campaign_id,refund_flag,is_conversion
1,2021-12-27 08:25:15,59540,1630.0,3,0.0,43.74,0,0,1
2,2023-06-06 21:14:26,54871,1901.0,3,0.0,174.78,21,0,1
3,2023-08-31 05:29:54,51818,1884.0,1,0.0,40.61,37,0,1
4,2022-06-26 20:33:46,18164,1114.0,2,0.15,68.76,13,0,1
5,2023-07-26 18:12:35,86915,408.0,1,0.0,14.64,4,0,1
6,2023-01-19 14:05:58,10749,1635.0,2,0.0,169.74,13,0,1
7,2023-07-28 09:37:53,25984,244.0,2,0.0,42.48,21,0,1
8,2022-07-10 07:29:15,85140,1296.0,1,0.0,36.95,2,0,1
9,2023-11-02 05:22:44,52930,1512.0,1,0.0,125.59,23,0,1
10,2021-01-25 06:28:42,69172,1433.0,1,0.15,48.72,44,0,1
11,2022-06-27 07:48:48,13992,154.0,2,0.0,94.7,13,0,1
12,2021-04-04 21:06:51,69122,781.0,1,0.2,-97.41,30,1,1
13,2023-03-09 15:36:33,45997,1513.0,1,0.0,100.76,43,0,1
14,2022-05-03 20:41:13,4344,1167.0,1,0.0,17.92,0,0,1
15,2021-07-27 16:22:47,30203,1099.0,1,0.0,123.87,46,0,1
16,2021-02-13 07:36:17,33154,,1,0.05,,29,0,1
17,2023-08-27 12:23:10,25737,1210.0,2,0.1,69.57,44,0,1
18,2023-03-30 16:42:58,75725,785.0,1,0.0,138.25,19,0,1
19,2021-07-26 14:10:11,11918,1960.0,1,0.0,251.08,19,0,1
20,2023-07-31 13:11:49,30583,899.0,1,0.0,-176.65,4,1,1
21,2023-03-29 19:49:38,52652,,1,0.0,,40,0,1
22,2021-08-01 15:47:25,30425,,1,0.15,,49,0,1
23,2022-11-29 12:58:47,58277,714.0,1,0.0,47.82,46,0,1
24,2022-09-16 14:44:36,34898,1813.0,1,0.0,18.39,36,0,1
25,2021-11-03 06:20:33,17574,780.0,3,0.0,178.05,33,0,1
26,2021-01-26 09:47:00,81956,561.0,1,0.0,73.88,21,0,1
27,2023-09-03 12:48:57,36945,1611.0,1,0.1,84.8,0,0,1
28,2022-05-16 14:05:23,91979,1.0,1,0.15,12.06,24,0,1
29,2022-08-13 07:29:18,2530,275.0,1,0.15,12.55,0,0,1
30,2021-09-19 16:44:49,25399,787.0,1,0.05,12.25,4,0,1
31,2022-01-17 13:07:07,5903,1461.0,1,0.2,26.79,34,0,1
32,2021-08-24 04:50:13,94982,386.0,1,0.0,28.55,0,0,1
33,2022-09-27 17:48:03,81409,814.0,1,0.0,27.33,37,0,1
34,2021-05-07 04:07:36,81957,722.0,1,0.0,45.88,24,0,1
35,2022-12-27 22:28:40,16728,1680.0,1,0.05,104.11,10,0,1
36,2022-10-04 07:05:23,2322,1129.0,1,0.1,59.99,14,0,1
37,2023-11-28 21:37:40,82265,1838.0,4,0.0,124.12,40,0,1
38,2023-09-07 05:51:38,6301,4.0,1,0.1,67.9,28,0,1
39,2021-01-18 20:52:06,29955,1543.0,1,0.1,39.83,0,0,1
40,2021-02-21 22:44:06,3897,966.0,1,0.0,71.93,0,0,1
41,2022-12-02 15:37:48,83860,408.0,1,0.0,14.64,38,0,1
42,2023-04-28 08:34:15,69804,42.0,3,0.15,197.45,27,0,1
43,2021-09-05 18:58:52,90703,1677.0,1,0.2,51.09,22,0,1
44,2021-03-11 22:04:36,91593,1236.0,1,0.15,78.91,16,0,1
45,2023-12-04 20:24:53,64997,460.0,1,0.0,55.97,1,0,1
46,2022-05-17 18:28:51,70071,773.0,1,0.0,60.0,5,0,1
47,2021-10-22 08:28:55,84477,1035.0,1,0.0,62.29,31,0,1
48,2021-11-18 16:02:21,18030,1056.0,1,0.1,55.4,31,0,1
49,2023-12-23 07:08:09,29815,98.0,1,0.0,79.4,16,0,1
